id,cleaned_name
57b286ebf3e5bb631851d4b1,"Acarape, Brazil"
57b27fedf3e5bb59acf12c45,"Acton Trussell, United Kingdom"
57b283cdf3e5bb63212052df,"Acereto, Italy"
57b28ee7f3e5bb633957764e,"Acton Beauchamp, United Kingdom"
57b28219f3e5bb6325a8d4e3,"Acklington, United Kingdom"
57b2867bf3e5bb63149efdee,"Achun, France"
57b28cdbf3e5bb63149f05e7,"Ackermanville, Pennsylvania"
57b2853ef3e5bb63318727c8,"Achlean, United Kingdom"
57b28193f3e5bb6325a8d2f1,"Accord, New York"
57b28473f3e5bb631ca4a1e4,"Achnacairn, United Kingdom"
57b28c0ef3e5bb6325a8e485,"Ace, Texas"
57b28469f3e5bb631851cfa6,"Acampo, California"
57b286e2f3e5bb6325a8de46,"Acacias, Colombia"
57b29145f3e5bb632120622c,"Acatlán de Juárez, Mexico"
57b28261f3e5bb63149ef518,"Acered, Spain"
57b287a4f3e5bb634182bdb7,"Acoma Pueblo, New Mexico"
57b28dfcf3e5bb633957758c,"Acme, Washington"
57b28bb2f3e5bb6321205dbe,"Acornhoek, South Africa"
57b292d6f3e5bb634182c86a,"Acton Park, Australia"
57b29002f3e5bb6325a8e7fa,"Acățari, Romania"
57b29321f3e5bb6325a8ea46,"Actopan, Mexico"
57b2873ff3e5bb6339576ead,"Accident, Maryland"
57b28fa8f3e5bb631ca4aead,"Acushnet, Massachusetts"57b27fd0f3e5bb59998f4a22,"Adelaide, Australia"
57b27feaf3e5bb59998f4c1c,"Addison, Texas"
57b27fcbf3e5bb59a5a03810,"Addison, Illinois"
57b2808ff3e5bb6325a8cd1b,"Adrian, Michigan"
57b2808cf3e5bb63149eeafb,"Adachi, Japan"
57b27fd2f3e5bb59919c743c,"Addis Ababa, Ethiopia"
57b280bff3e5bb6325a8ce93,"Adana, Turkey"
57b28086f3e5bb631ca4942e,"Ada, Oklahoma"
57b27feef3e5bb598de86540,"Addlestone, United Kingdom"
57b28087f3e5bb634182ab47,"Adygea, Russia"
57b28119f3e5bb63149eef15,"Adelanto, California"
57b27fdef3e5bb5995d64526,"Adairsville, Georgia"
57b27fccf3e5bb59998f49a1,"Adler, Russia"
57b28089f3e5bb63318718e3,"Adliswil, Switzerland"
57b27fe7f3e5bb59893e45e5,"Advance, North Carolina"
57b27fd3f3e5bb59b52ade83,"Adelberg, Germany"
57b28102f3e5bb631851c61c,"Addington, United Kingdom"
57b27fcbf3e5bb598de8627e,"Ada, Minnesota"
57b27ff2f3e5bb598de86564,"Adygeysk, Russia"
57b28134f3e5bb6331871d5a,"Adamov, Czech Republic"
57b280bbf3e5bb63149eecc6,"Adjud, Romania"
57b27fe8f3e5bb5995d645de,"Adams, Wisconsin"
57b2849ef3e5bb631ca4a239,"Adell, Wisconsin"
57b28520f3e5bb631851d103,"Adamsville, Tennessee"
57b28384f3e5bb6339576912,"Adelsheim, Germany"
57b282c4f3e5bb6321205075,"Adel, Iowa"
57b28287f3e5bb631851cbdd,"Adelsdorf, Germany"
57b282fbf3e5bb631851cd03,"Adilabad, India"
57b2852ff3e5bb634182ba11,"Adkins, Texas"
57b281eef3e5bb63149ef343,"Adelange, France"
57b28202f3e5bb63395764d1,"Adel, Georgia"
57b286abf3e5bb634182bc61,"Adair, Iowa"
57b28296f3e5bb6331872232,"Adversane, United Kingdom"
57b28153f3e5bb6321204bc9,"Adorf, Germany"
57b281d7f3e5bb634182b28f,"Adams, Massachusetts"
57b285eff3e5bb6325a8dcd4,"Adena, Ohio"
57b282a0f3e5bb632120501d,"Adamstown, Maryland"
57b28a61f3e5bb6321205c63,"Adstone, United Kingdom"
57b2811ff3e5bb6331871ced,"Adrian, Minnesota"
57b28702f3e5bb631851d4d7,"Adolfo Lopez Mateos, Mexico"
57b28362f3e5bb6331872436,"Admire, Kansas"
57b282a3f3e5bb633187225d,"Adwick upon Dearne, United Kingdom"
57b2847cf3e5bb631ca4a1f2,"Adrian, Missouri"
57b28fcbf3e5bb63318732ea,"Ado Odo, Nigeria"
57b28421f3e5bb6339576a42,"Adolfo Ruiz Cortines, Mexico"
57b28f81f3e5bb631851ddd6,"Adamowice, Poland"
57b28476f3e5bb631851cfc5,"Adamsville, Alabama"
57b28307f3e5bb634182b601,"Adams, Kentucky"
57b28089f3e5bb63149eeae2,"Advance, Indiana"
57b2854ff3e5bb6325a8dbba,"Adlingfleet, United Kingdom"
57b28388f3e5bb6325a8d883,"Adendorf, Germany"
57b28bfdf3e5bb631ca4abcf,"Adamovka, Russia"
57b28bdbf3e5bb63149f04e4,"Adams, Oklahoma"
